name,cost,type,resolve,speed,damage,toughness,life,shorttext,longtext,flavortext,common,uncommon,rare,action,event,continuous,item,bast,igrath,lilith,vi,ravat,scuttler,tendril,wisp,scinter,tinsel,show_resolve,show_speed,show_tough,show_life,border_normal
"Bushwack Squad",,"Follower",,1,1,1,0,"Uncontested- +2/+1.","If your opponent controls no nearby characters, this character gets +2/+1.","Our chief weapon is surprise!  Surprise and guns, guns and surprise.... Our two weapons are guns and surprise.  And ruthless sarcasm!  Our three weapons are ...",true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true
"Drastic Measures",,"Event",,0,0,0,0,"Discard a non-leader card from a lane, its controller draws 1.","Deck heroes count as non-leader cards.","",true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true
"Drastic Measures",,"Event",,0,0,0,0,"Discard a non-leader card from a lane, its controller draws 1.","Deck heroes count as non-leader cards.","",true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true
"Drastic Measures",,"Event",,0,0,0,0,"Discard a non-leader card from a lane, its controller draws 1.","Deck heroes count as non-leader cards.","",true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true
"High Ground",,"Event- Continuous",,0,0,0,0,"Uncontested- characters can't deploy or redeploy to this lane.","If your opponent controls nearby characters, this card does nothing.Characters are nearby if they're in the same lane as this card.","",false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
"High Ground",,"Event- Continuous",,0,0,0,0,"Uncontested- characters can't deploy or redeploy to this lane.","If your opponent controls nearby characters, this card does nothing.Characters are nearby if they're in the same lane as this card.","",false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
"Loyal Trooper",,"Follower",,1,1,3,0,"Uncontested- +2/+0.","If your opponent controls no nearby characters, this character gets +2/+0.","",true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true
"Loyal Trooper",,"Follower",,1,1,3,0,"Uncontested- +2/+0.","If your opponent controls no nearby characters, this character gets +2/+0.","",true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true
"Loyal Trooper",,"Follower",,1,1,3,0,"Uncontested- +2/+0.","If your opponent controls no nearby characters, this character gets +2/+0.","",true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true
"Overlooked Advantage",,"Event",,0,0,0,0,"Move a character.Draw 1.","Move means to put that character in another zone, this does not count as a redeployment.","",false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true
"Overlooked Advantage",,"Event",,0,0,0,0,"Move a character.Draw 1.","Move means to put that character in another zone, this does not count as a redeployment.","",false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true
"Overwhelming Odds",,"Event",,0,0,0,0,"Characters in uncontested lanes gain +1 speed this turn.","Lanes are uncontested if your opponent controls no characters in them.","",false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
"Troika Tactician",,"Follower",,1,1,2,0,"Uncontested- nearby followers get +1/+1.","If your opponent controls no nearby characters, your nearby followers get +1/+1.","",false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true
"Troika Tactician",,"Follower",,1,1,2,0,"Uncontested- nearby followers get +1/+1.","If your opponent controls no nearby characters, your nearby followers get +1/+1.","",false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true
"Springtrigger Vanguard",,"Follower",,1,2,3,0,"Uncontested- +2/+1.","If your opponent controls no nearby characters, this character gets +2/+1.","",false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true
"Springtrigger Vanguard",,"Follower",,1,2,3,0,"Uncontested- +2/+1.","If your opponent controls no nearby characters, this character gets +2/+1.","",false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true
"Ruskol District Striker",,"Follower",,1,3,3,0,"Ambush.","You may play this character at any time, even during your opponent's turn.","Please, don’t call it a trap.  We prefer the term ‘understated assault.’",false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true
"Ruskol District Striker",,"Follower",,1,3,3,0,"Ambush.","You may play this character at any time, even during your opponent's turn.","Please, don’t call it a trap.  We prefer the term ‘understated assault.’",false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,tru
"Calah's Trusted",,"Follower",,1,2,4,0,"Guard, Stealth, Deadly.","This character can intercept even when attacked, can only be attacked by nearby characters, and always deals lethal damage.","",false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,true
"Calah's Trusted",,"Follower",,1,2,4,0,"Guard, Stealth, Deadly.","This character can intercept even when attacked, can only be attacked by nearby characters, and always deals lethal damage.","",false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,true
"Devotion",,"Event- Continuous",,0,0,0,0,"When a Troika character intercepts, they get +1 speed this turn.","Speed is spent to attack, intercept, or redeploy","",false,false,true,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
"Devotion",,"Event- Continuous",,0,0,0,0,"When a Troika character intercepts, they get +1 speed this turn.","Speed is spent to attack, intercept, or redeploy","",false,false,true,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
"Distraction",,"Action",,0,0,0,0,"Remove a character from a skirmish.It can't be attacked this turn.","That character takes and deals no damage this skirmish.","",true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
"Distraction",,"Action",,0,0,0,0,"Remove a character from a skirmish.It can't be attacked this turn.","That character takes and deals no damage this skirmish.","",true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
"Distraction",,"Action",,0,0,0,0,"Remove a character from a skirmish.It can't be attacked this turn.","That character takes and deals no damage this skirmish.","",true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
"Never Unprepared",,"Event",,0,0,0,0,"Draw 3.","","",false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
"Peek",,"Event",,0,0,0,0,"Prevent 2 damage that would be dealt this turn.","","",true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true
"Peek",,"Event",,0,0,0,0,"Prevent 2 damage that would be dealt this turn.","","",true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true
"Peek",,"Event",,0,0,0,0,"Prevent 2 damage that would be dealt this turn.","","",true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true
"Quick Thinking",,"Event",,0,0,0,0,"Draw 1, then Replace 2.","You may discard 1 and draw 1, up to 2 times.","",false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true
"Quick Thinking",,"Event",,0,0,0,0,"Draw 1, then Replace 2.","You may discard 1 and draw 1, up to 2 times.","",false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true
"Sabbaton Elite",,"Follower",,1,3,4,0,"Guard.","This character can intercept even when attacked.","",true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,true
"Sabbaton Elite",,"Follower",,1,3,4,0,"Guard.","This character can intercept even when attacked.","",true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,true
"Sabbaton Elite",,"Follower",,1,3,4,0,"Guard.","This character can intercept even when attacked.","",true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,true
"Tower Guard",,"Follower",,1,1,5,0,"Short range.Guard.","This character can't flank or reinforce.This character can intercept even when attacked.","",true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,true
"Tower Guard",,"Follower",,1,1,5,0,"Short range.Guard.","This character can't flank or reinforce.This character can intercept even when attacked.","",true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,true
"Tower Guard",,"Follower",,1,1,5,0,"Short range.Guard.","This character can't flank or reinforce.This character can intercept even when attacked.","",true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,true
"Unstable Lifeflow",,"Event - Leader",,0,0,0,0,"Lilith swaps life with a nearby hero.","Both heroes gain or lose life equal to the difference in their life totals.","",false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,fals
"Decaying Ground",,"Event - Continuous Leader",,0,0,0,0,"Start- Deal 1 to all nearby, non-Ravat characters.Nearby characters gain short range.","","",true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"Decaying Ground",,"Event - Continuous Leader",,0,0,0,0,"Start- Deal 1 to all nearby, non-Ravat characters.Nearby characters gain short range.","","",true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"Decaying Ground",,"Event - Continuous Leader",,0,0,0,0,"Start- Deal 1 to all nearby, non-Ravat characters.Nearby characters gain short range.","","",true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"Finish the Job",,"Action - Leader",,0,0,0,0,"Discard a damaged, non-leader character from play.","A damaged character is one that has been dealt damage this turn.","",true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"Finish the Job",,"Action - Leader",,0,0,0,0,"Discard a damaged, non-leader character from play.","A damaged character is one that has been dealt damage this turn.","",true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"Finish the Job",,"Action - Leader",,0,0,0,0,"Discard a damaged, non-leader character from play.","A damaged character is one that has been dealt damage this turn.","",true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"Gruesome Display",,"Event - Leader",,0,0,0,0,"Discard one of your heroes from a lane, if you do, take an extra turn after this one.","","",false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
"Hunt",,"Event - Leader",,0,0,0,0,"Choose a character. When Ravat damages that character this turn, he gains +1 speed and +1 damage this turn.","","",false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"Hunt",,"Event - Leader",,0,0,0,0,"Choose a character. When Ravat damages that character this turn, he gains +1 speed and +1 damage this turn.","","",false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"Lacerate",,"Event",,0,0,0,0,"Deal 4.","","",true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"Lacerate",,"Event",,0,0,0,0,"Deal 4.","","",true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"Lacerate",,"Event",,0,0,0,0,"Deal 4.","","",true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"Lay Waste",,"Event - Continuous",,0,0,0,0,"Start- Discard all nearby non-Ravat cards.Nothing can enter this lane.","Non-Ravat means all cards except the Ravat leader card.","",false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
"Mokoi",,"Follower",,1,4,5,0,"Short range.","","",false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,true
"Mokoi",,"Follower",,1,4,5,0,"Short range.","","",false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,true
"No Escape",,"Action - Leader",,0,0,0,0,"A nearby character gets (-1) this turn.If it's your turn, move Ravat.","","",true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"No Escape",,"Action - Leader",,0,0,0,0,"A nearby character gets (-1) this turn.If it's your turn, move Ravat.","","",true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"No Escape",,"Action - Leader",,0,0,0,0,"A nearby character gets (-1) this turn.If it's your turn, move Ravat.","","",true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"Terrify",,"Action - Leader",,0,0,0,0,"Nearby characters get -2 speed this turn.","","",false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
"Terrify",,"Action - Leader",,0,0,0,0,"Nearby characters get -2 speed this turn.","","",false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,tru
"Big Ninja",,"Follower",,1,3,3,0,"Ambush.Stealth.","This character can be played at any time, and can only be engaged by nearby characters. ","",false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true
"Big Ninja",,"Follower",,1,3,3,0,"Ambush.Stealth.","This character can be played at any time, and can only be engaged by nearby characters. ","",false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true
"Smokescreen",,"Event",,0,0,0,0,"You decide how characters intercept this turn.","You may choose to have all or none of your opponent's characters  intercept as you choose.","",false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
"Nainso",,"Follower",,1,2,2,0,"Stealth","This character can only be engaged by nearby characters.","",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true
"Nainso",,"Follower",,1,2,2,0,"Stealth","This character can only be engaged by nearby characters.","",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true
"Nainso",,"Follower",,1,2,2,0,"Stealth","This character can only be engaged by nearby characters.","",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true
"Indigo",,"Follower",,2,2,3,0,"Short range.","This character can't attack or flank.(+1) represents +1 speed.","",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true
"Indigo",,"Follower",,2,2,3,0,"Short range.","This character can't attack or flank.(+1) represents +1 speed.","",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true
"Indigo",,"Follower",,2,2,3,0,"Short range.","This character can't attack or flank.(+1) represents +1 speed.","",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true
"Rube Goldberg Trap",,"Action - Leader",,0,0,0,0,"Reveal the top 4 cards of your deck, you may play any traps from among them without paying their costs.Shuffle your deck.Trap- Reveal the top 8 cards instead.","You do not need to pay any costs for free cards.","",false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true
"Rube Goldberg Trap",,"Action - Leader",,0,0,0,0,"Reveal the top 4 cards of your deck, you may play any traps from among them without paying their costs.Shuffle your deck.Trap- Reveal the top 8 cards instead.","You do not need to pay any costs for free cards.","",false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true
"Smoke Trap",,"Action",,0,0,0,0,"A character gets (-2) this turn. Trap- Nearby characters also get (-2) this turn.","If you play this on a character that just entered a lane, the Trap ability triggers.Characters with (0) or less can't attack, intercept, or redeploy.","",false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
"Smoke Trap",,"Action",,0,0,0,0,"A character gets (-2) this turn. Trap- Nearby characters also get (-2) this turn.","If you play this on a character that just entered a lane, the Trap ability triggers.Characters with (0) or less can't attack, intercept, or redeploy.","",false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
"Tele-warp Trap",,"Action",,0,0,0,0,"A character gets +2/+2 this turn.Trap- That character also gets (+1) this turn.","If you play this on a character that just entered a lane, the Trap ability triggers.","",false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
"Tele-warp Trap",,"Action",,0,0,0,0,"A character gets +2/+2 this turn.Trap- That character also gets (+1) this turn.","If you play this on a character that just entered a lane, the Trap ability triggers.","",false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
"Tripwire Trap",,"Action",,0,0,0,0,"Deal 2.Trap- Deal 4 instead.","If you play this on a character that just entered a lane, the Trap ability triggers.","",true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
"Tripwire Trap",,"Action",,0,0,0,0,"Deal 2.Trap- Deal 4 instead.","If you play this on a character that just entered a lane, the Trap ability triggers.","",true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
"Tripwire Trap",,"Action",,0,0,0,0,"Deal 2.Trap- Deal 4 instead.","If you play this on a character that just entered a lane, the Trap ability triggers.","",true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
"Warp Trap",,"Action",,0,0,0,0,"Return a follower to it's owner's hand.Trap- Move a Troika character.","If you play this on a character that just entered a lane, the Trap ability triggers.","",false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
"Warp Trap",,"Action",,0,0,0,0,"Return a follower to it's owner's hand.Trap- Move a Troika character.","If you play this on a character that just entered a lane, the Trap ability triggers.","",false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,fals
"Dust Hulk",,"Follower - Sandman",,1,3,2,0,"Deploy- You may Scrap X cards to disacard a follower with cost X or less from a lane.Stitch 4.","You may pay 4 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+3/+2).","",false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
"Dust Hulk",,"Follower - Sandman",,1,3,2,0,"Deploy- You may Scrap X cards to disacard a follower with cost X or less from a lane.Stitch 4.","You may pay 4 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+3/+2).","",false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
"Dust Lacky",,"Follower - Sandman",,1,2,2,0,"When another sandman is discarded from a lane, Scuttler gains 1 resolve.Stitch 4.","You may pay 4 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+2/+2).","",true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
"Dust Lacky",,"Follower - Sandman",,1,2,2,0,"When another sandman is discarded from a lane, Scuttler gains 1 resolve.Stitch 4.","You may pay 4 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+2/+2).","",true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
"Dust Lacky",,"Follower - Sandman",,1,2,2,0,"When another sandman is discarded from a lane, Scuttler gains 1 resolve.Stitch 4.","You may pay 4 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+2/+2).","",true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
"Expendable Flunky",,"Follower - Sandman",,1,1,1,0,"Deploy- Replace 2.Stitch 2.","You may pay 2 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+1/+1).","",true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
"Expendable Flunky",,"Follower - Sandman",,1,1,1,0,"Deploy- Replace 2.Stitch 2.","You may pay 2 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+1/+1).","",true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
"Expendable Flunky",,"Follower - Sandman",,1,1,1,0,"Deploy- Replace 2.Stitch 2.","You may pay 2 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+1/+1).","",true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
"Hefty Poppet",,"Follower - Sandman",,1,2,2,0,"Stitch 2.","You may pay 2 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+2/+2).","",false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
"Hefty Poppet",,"Follower - Sandman",,1,2,2,0,"Stitch 2.","You may pay 2 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+2/+2).","",false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
"Ragpicker Scout",,"Follower - Sandman",,1,0,1,0,"Deploy- Draw 1, then Replace 2.Stitch 1.","You may pay 1 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+0/+1).","",true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
"Ragpicker Scout",,"Follower - Sandman",,1,0,1,0,"Deploy- Draw 1, then Replace 2.Stitch 1.","You may pay 1 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+0/+1).","",true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
"Ragpicker Scout",,"Follower - Sandman",,1,0,1,0,"Deploy- Draw 1, then Replace 2.Stitch 1.","You may pay 1 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+0/+1).","",true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
"Ragreaper",,"Follower - Sandman",,1,4,2,0,"When this character enters a lane, restore a Sandman to full speed.Stitch 6.","You may pay 6 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+4/+2).","",false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false
"Scuttler's Favorite",,"Follower - Sandman",,1,0,1,0,"Deploy- Stitch all sandmen onto this character.Stitch 1.","You may pay 1 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+0/+1).","",false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false
"Seam Parasite",,"Follower - Sandman",,1,1,1,0,"Discard- Stitch this character.Stitch 3.","You may pay 3 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+3/+2).","",false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
"Seam Parasite",,"Follower - Sandman",,1,1,1,0,"Discard- Stitch this character.Stitch 3.","You may pay 3 to stitch this card from discard onto a Sandman in a lane.that sandman gains this character's damage and toughness (+3/+2).","",false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true
